genome	domain	phylum	class	order	family	genus	species	completeness	contamination	completeness_model_used	translation_table_used	coding_density	contig_n50	average_gene_length	genome_size	gc_content	total_coding_sequences	total_contigs	max_contig_length	additional_notes
MEGAHIT-MaxBin2Refined-VK-3516-KFM02a-3_S40_L002.023	Bacteria	Patescibacteria	ABY1	BM507	GWC2-42-12	JACPHD01	NA	90.71	0.73	Gradient Boost (General Model)	11	0.876	12308	279.1933256616801	829782	0.4	869	103	41482	None
MEGAHIT-MaxBin2Refined-VK-3516-KFM02a-3_S40_L002.026	Bacteria	Patescibacteria	Paceibacteria	UBA10092	UBA10092	UBA10092	NA	77.64	1.56	Neural Network (Specific Model)	11	0.911	6710	234.42105263157896	394631	0.4	513	86	14325	None
MEGAHIT-MaxBin2Refined-VK-3516-SA1420-SRM-a_S42_L002.001	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Casp-alpha2	UBA1479	NA	99.78	1.1	Gradient Boost (General Model)	11	0.908	454001	322.11660130718957	4067683	0.64	3825	13	969821	None
MEGAHIT-MaxBin2Refined-VK-3516-SA1420-SRM-a_S42_L002.002	Bacteria	Pseudomonadota	Gammaproteobacteria	JAHJQQ01	JAHJQQ01	JAHJQQ01	NA	100	2.81	Neural Network (Specific Model)	11	0.858	74361	293.1035231660232	4239564	0.55	4144	109	260858	None
MEGAHIT-MaxBin2Refined-VK-3516-a1f_S39_L002.002	Bacteria	Desulfobacterota	Desulfarculia	Desulfarculales	Desulfarculaceae	SURF-10	NA	100	1.84	Gradient Boost (General Model)	11	0.887	91738	316.7678032938993	4612602	0.64	4311	94	273944	None
MEGAHIT-MaxBin2Refined-VK-3516-a1f_S39_L002.003	Bacteria	Bacillota	Bacilli	Izemoplasmatales	UBA5603	4572-104	NA	72.67	2.35	Gradient Boost (General Model)	11	0.918	2404	241.0277023356871	1445861	0.35	1841	667	13081	None
MEGAHIT-MaxBin2Refined-VK-3516-a1u_S32_L002.006	Bacteria	Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	UBA2284	NA	87.24	3.03	Gradient Boost (General Model)	11	0.911	3681	256.1354118194509	1806565	0.34	2149	595	29471	None
MEGAHIT-MaxBin2Refined-VK-3516-a4f_S18_L002.002	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacula	NA	100	0.98	Neural Network (Specific Model)	11	0.907	171568	338.52939941201174	5323703	0.44	4762	62	492863	None
MEGAHIT-MaxBin2Refined-VK-3516-l2u_S25_L002.002	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutibacter	NA	100	0.49	Neural Network (Specific Model)	11	0.878	113801	325.13847098556954	3614530	0.35	3257	101	278806	None
MEGAHIT-MaxBin2Refined-VK-3516-l2u_S25_L002.003	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	GWF2-38-69	GWF2-38-69	NA	93.21	1.12	Gradient Boost (General Model)	11	0.91	25165	329.2013235806339	3110405	0.41	2871	246	102507	None
MEGAHIT-MaxBin2Refined-VK-3516-l3u_S16_L002.002	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	ATCC-39006	ATCC-39006 sp002847015	100	1.15	Neural Network (Specific Model)	11	0.86	193713	316.17509467587433	4941886	0.49	4489	70	395153	None
MEGAHIT-MaxBin2Refined-VK-3516-l3u_S16_L002.004	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA6680	UBA6680	NA	98.13	0.77	Gradient Boost (General Model)	11	0.879	141136	349.32334672999633	3259253	0.34	2737	86	446219	None
MEGAHIT-MaxBin2Refined-VK-3516-l3u_S16_L002.005	Bacteria	Bacillota	Clostridia	Christensenellales	Aristaeellaceae	Limiplasma	NA	89.22	7.47	Gradient Boost (General Model)	11	0.889	4072	272.8675057966214	2774355	0.57	3019	851	18618	None
MEGAHIT-MaxBin2Refined-VK-3516-media-gw-oil-b_S38_L002.006_sub	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	NA	99.57	3.46	Neural Network (Specific Model)	11	0.876	98806	315.52711385248006	4198249	0.43	3891	108	226554	None
MEGAHIT-MaxBin2Refined-VK-3516-s2u_S27_L002.001	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	Sulfurimonas sp002899765	100	0.03	Neural Network (Specific Model)	11	0.937	519463	318.60025542784166	2389665	0.37	2349	13	962648	None
MEGAHIT-MetaBAT2Refined-VK-3516-KFM02a-2_S19_L002.31_sub	Bacteria	Patescibacteria	Microgenomatia	UBA1400	CG1-02-47-37	JAPLVF01	NA	85.21	3.64	Gradient Boost (General Model)	11	0.949	4664	246.97396768402157	864606	0.41	1114	211	24483	None
MEGAHIT-MetaBAT2Refined-VK-3516-KFM02a-5_S41_L002.16_sub	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Villigracilaceae	Villigracilis	Villigracilis sp030680795	74.49	3.96	Gradient Boost (General Model)	11	0.897	3027	242.17136414881625	2151130	0.5	2661	745	8818	None
MEGAHIT-MetaBAT2Refined-VK-3516-KFM24-2_S21_L002.63_sub	Bacteria	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae	UBA8525	UBA8525 sp002839335	95.62	0.59	Neural Network (Specific Model)	11	0.928	41746	328.96974063400575	2944548	0.53	2776	134	95449	None
MEGAHIT-MetaBAT2Refined-VK-3516-SA1420-SRM-a_S42_L002.7_sub	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	NA	99.96	0.01	Neural Network (Specific Model)	11	0.853	93697	300.84586407157434	6729024	0.63	6371	104	307371	None
MEGAHIT-MetaBAT2Refined-VK-3516-SA1420-SRM-b_S43_L002.4	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulforhopalus	NA	97.55	1.32	Gradient Boost (General Model)	11	0.872	103431	328.24245534797785	5491224	0.46	4871	98	397053	None
MEGAHIT-MetaBAT2Refined-VK-3516-a1u_S32_L002.5	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfatibacillaceae	JAHJUF01	JAHJUF01 sp018829095	100	0.27	Gradient Boost (General Model)	11	0.874	52477	350.4739010989011	4374503	0.64	3640	148	192447	None
MEGAHIT-MetaBAT2Refined-VK-3516-l2u_S25_L002.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	JACZKS01	JACZKS01	NA	100	1.11	Gradient Boost (General Model)	11	0.894	87821	326.4643939393939	4334123	0.65	3960	78	353775	None
MEGAHIT-MetaBAT2Refined-VK-3516-l3u_S16_L002.1	Bacteria	Desulfobacterota	Desulfarculia	Desulfarculales	Desulfarculaceae	SURF-10	SURF-10 sp018896025	99.76	2.86	Gradient Boost (General Model)	11	0.896	185102	320.1913595313644	4387097	0.64	4097	43	341328	None
MEGAHIT-MetaBAT2Refined-VK-3516-l5u_S29_L002.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	NA	99.99	0.87	Neural Network (Specific Model)	11	0.917	326594	323.7183561643836	3859356	0.57	3650	43	486796	None
MEGAHIT-MetaBAT2Refined-VK-3516-l5u_S29_L002.4	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	CALGYO01	NA	99.89	3.04	Neural Network (Specific Model)	11	0.869	93560	324.5361567920703	4964989	0.6	4439	103	206810	None
MEGAHIT-MetaBAT2Refined-VK-3516-l5u_S29_L002.5	Bacteria	Desulfobacterota	Desulfarculia	Desulfarculales	Desulfarculaceae	JACRDC01	NA	98.57	1.52	Gradient Boost (General Model)	11	0.879	97017	325.9282141070535	4443081	0.67	3998	72	492301	None
MEGAHIT-MetaBAT2Refined-VK-3516-l5u_S29_L002.6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	SNAP01	NA	99.29	0.12	Neural Network (Specific Model)	11	0.9	181802	348.8682547399125	2390854	0.32	2057	42	300658	None
MEGAHIT-MetaBAT2Refined-VK-3516-l6f_S34_L002.1	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Holophaga	NA	98.34	1.8	Gradient Boost (General Model)	11	0.913	60185	341.62297090352223	3659302	0.63	3265	127	168939	None
MEGAHIT-MetaBAT2Refined-VK-3516-methanol-a_S14_L002.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium sp003260995	99.51	0.31	Neural Network (Specific Model)	11	0.882	37563	314.1698707847463	3386289	0.42	3173	154	126809	None
MEGAHIT-MetaBAT2Refined-VK-3516-s2u_S27_L002.12	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	NA	NA	95.36	2.95	Gradient Boost (General Model)	11	0.906	12314	322.6635559921414	4345896	0.37	4072	548	58139	None
MEGAHIT-MetaBAT2Refined-VK-3516-s2u_S27_L002.7	Bacteria	Bacillota	Bacilli	Izemoplasmatales	UBA5603	JAHIVB01	JAHIVB01 sp018816905	95.74	0.25	Neural Network (Specific Model)	11	0.911	162631	326.3170075349839	1992892	0.36	1858	26	259490	None
MEGAHIT-MetaBAT2Refined-VK-3516-s3f_S33_L002.2_sub	Bacteria	Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	UBA2284	NA	99.99	0.05	Neural Network (Specific Model)	11	0.906	70004	317.0596658711217	1755910	0.35	1676	38	176346	None
MEGAHIT-MaxBin2Refined-VK-3516-KFM02a-3_S40_L002.019_sub	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	NA	NA	60.59	0.82	Gradient Boost (General Model)	11	0.853	12867	220.72128060263657	1232557	0.28	1593	149	29020	None
MEGAHIT-MetaBAT2Refined-VK-3516-KFM02a-3_S40_L002.49_sub	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	NA	NA	88.53	0.87	Gradient Boost (General Model)	11	0.895	13380	225.1918328584995	792565	0.32	1053	94	32959	None
MEGAHIT-MetaBAT2Refined-VK-3516-KFM02a-3_S40_L002.56_sub	Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	1-14-0-10-31-34	1-14-0-10-31-34	1-14-0-10-31-34 sp018829335	62.18	1.4	Gradient Boost (General Model)	11	0.918	3332	225.27132867132863	1049911	0.33	1430	341	9729	None
