sample	groundwater	medium	fraction	age	origin
P15009_1057	KR0015	env	environmental	NA	meteoric
P15009_1059	KR0015	env	environmental	NA	meteoric
P15009_1060	KR0015	env	environmental	NA	meteoric
P15009_1061	SA1420	env	environmental	NA	marine
P15009_1062	SA2600	env	environmental	NA	saline
P15009_1063	SA2600	env	environmental	NA	saline
P15009_1065	SA1420	env	environmental	NA	marine
P15009_1066	SA1420	env	environmental	NA	marine
P15009_1069	SA2600	env	environmental	NA	saline
P21015_1020	KR0015	env	environmental	NA	meteoric
P21015_1021	KR0015	env	environmental	NA	meteoric
P21015_1022	KR0015	env	environmental	NA	meteoric
P21015_1023	SA1420	env	environmental	NA	marine
P21015_1024	SA1420	env	environmental	NA	marine
P21015_1025	SA1420	env	environmental	NA	marine
P21015_1029	SA2600	env	environmental	NA	saline
P21015_1030	SA2600	env	environmental	NA	saline
P21015_1031	SA2600	env	environmental	NA	saline
P21015_1032	control	env	extraction_control	NA	control
P21015_1033	control	env	extraction_control	NA	control
P21015_1042	KR0015	ace	non-fractionated	1	meteoric
P21015_1043	KR0015	ace	fractionated	1	meteoric
P21015_1044	KR0015	lys	non-fractionated	1	meteoric
P21015_1045	KR0015	lys	fractionated	1	meteoric
P21015_1046	KR0015	ace	non-fractionated	2	meteoric
P21015_1047	KR0015	ace	fractionated	2	meteoric
P21015_1048	KR0015	lys	non-fractionated	2	meteoric
P21015_1049	KR0015	lys	fractionated	2	meteoric
P21015_1050	KR0015	ace	non-fractionated	3	meteoric
P21015_1051	KR0015	ace	fractionated	3	meteoric
P21015_1052	KR0015	lys	non-fractionated	3	meteoric
P21015_1053	KR0015	lys	fractionated	3	meteoric
P21015_1054	KR0015	ace	non-fractionated	4	meteoric
P21015_1055	KR0015	ace	fractionated	4	meteoric
P21015_1056	KR0015	lys	non-fractionated	4	meteoric
P21015_1057	KR0015	lys	fractionated	4	meteoric
P21015_1058	KR0015	ace	non-fractionated	5	meteoric
P21015_1059	KR0015	ace	fractionated	5	meteoric
P21015_1060	KR0015	lys	non-fractionated	5	meteoric
P21015_1061	KR0015	lys	fractionated	5	meteoric
P21015_1062	KR0015	ace	non-fractionated	6	meteoric
P21015_1063	KR0015	ace	fractionated	6	meteoric
P21015_1064	KR0015	lys	non-fractionated	6	meteoric
P21015_1065	KR0015	lys	fractionated	6	meteoric
P21015_1066	KR0015	ace	non-fractionated	7	meteoric
P21015_1067	KR0015	ace	fractionated	7	meteoric
P21015_1068	KR0015	lys	non-fractionated	7	meteoric
P21015_1069	KR0015	lys	fractionated	7	meteoric
P21015_1070	KR0015	ace	non-fractionated	8	meteoric
P21015_1071	KR0015	ace	fractionated	8	meteoric
P21015_1072	KR0015	lys	non-fractionated	8	meteoric
P21015_1073	KR0015	lys	fractionated	8	meteoric
P21015_1074	KR0015	ace	non-fractionated	9	meteoric
P21015_1075	KR0015	ace	fractionated	9	meteoric
P21015_1076	KR0015	lys	non-fractionated	9	meteoric
P21015_1077	KR0015	lys	fractionated	9	meteoric
P21015_1078	KR0015	ace	non-fractionated	10	meteoric
P21015_1079	KR0015	ace	fractionated	10	meteoric
P21015_1080	KR0015	lys	non-fractionated	10	meteoric
P21015_1081	KR0015	lys	fractionated	10	meteoric
P21015_1082	KR0015	ace	environmental	NA	meteoric
P21015_1083	KR0015	ace	environmental	NA	meteoric
P21015_1084	KR0015	ace	environmental	NA	meteoric
P21015_1085	control	ace	control	NA	control
P21015_1086	control	ace	control	NA	control
P21015_1087	KR0015	lys	environmental	NA	meteoric
P21015_1088	KR0015	lys	environmental	NA	meteoric
P21015_1089	KR0015	lys	environmental	NA	meteoric
P21015_1090	control	lys	control	NA	control
P21015_1091	control	lys	control	NA	control
P26201_1007	SA1420	ace	non-fractionated	NA	marine
P26201_1008	SA2600	ace	non-fractionated	NA	saline
P26201_1009	SA1420	ace	non-fractionated	NA	marine
P26201_1010	SA1420	ace	fractionated	NA	marine
P26201_1011	SA1420	ace	fractionated	NA	marine
P26201_1012	SA1420	ace	fractionated	NA	marine
P26201_1017	KR0015	lys	fractionated	NA	meteoric
P26201_1019	SA2600	lys	non-fractionated	NA	saline
P26201_1021	SA2600	ace	non-fractionated	NA	saline
P26201_1022	SA2600	lys	non-fractionated	NA	saline
P26201_1024	SA2600	lys	non-fractionated	NA	saline
P26201_1025	SA1420	lys	fractionated	NA	marine
P26201_1026	SA1420	ace	non-fractionated	NA	marine
P26201_1027	SA1420	lys	fractionated	NA	marine
P26201_1028	SA1420	lys	non-fractionated	NA	marine
P26201_1029	KR0015	lys	fractionated	NA	meteoric
P26201_1030	SA2600	ace	non-fractionated	NA	saline
P26201_1031	SA2600	ace	non-fractionated	NA	saline
P26201_1032	SA2600	ace	non-fractionated	NA	saline
P26201_1033	SA1420	ace	non-fractionated	NA	marine
P26201_1034	SA1420	ace	fractionated	NA	marine
P26201_1035	SA1420	lys	non-fractionated	NA	marine
P26201_1036	KR0015	lys	fractionated	NA	meteoric
P26201_1037	KR0015	lys	non-fractionated	NA	meteoric
P26201_1038	KR0015	lys	non-fractionated	NA	meteoric
P26201_1042	SA1420	lys	non-fractionated	NA	marine
P26201_1043	KR0015	ace	fractionated	NA	meteoric
P26201_1044	SA2600	lys	non-fractionated	NA	saline
P26201_1045	SA2600	lys	non-fractionated	NA	saline
P26201_1054	SA1420	lys	non-fractionated	NA	marine
P26201_1055	SA1420	lys	non-fractionated	NA	marine
P26201_1056	SA1420	ace	non-fractionated	NA	marine
P26201_1057	SA1420	ace	fractionated	NA	marine
P26201_1058	KR0015	lys	non-fractionated	NA	meteoric
P26201_1059	KR0015	lys	non-fractionated	NA	meteoric
P26201_1060	KR0015	lys	non-fractionated	NA	meteoric
P26201_1061	KR0015	ace	non-fractionated	NA	meteoric
P26201_1062	KR0015	ace	fractionated	NA	meteoric
P26201_1063	KR0015	ace	non-fractionated	NA	meteoric
P26201_1064	KR0015	ace	non-fractionated	NA	meteoric
P26201_1065	KR0015	ace	non-fractionated	NA	meteoric
P26201_1066	KR0015	ace	non-fractionated	NA	meteoric
P26201_1067	KR0015	ace	fractionated	NA	meteoric
P26201_1068	KR0015	lys	fractionated	NA	meteoric
P26201_1069	KR0015	lys	fractionated	NA	meteoric
P26201_1076	KR0015	ace	fractionated	NA	meteoric
P26201_1078	KR0015	ace	fractionated	NA	meteoric
P26201_1082	SA1420	lys	fractionated	NA	marine
P26201_1083	SA1420	lys	fractionated	NA	marine
P26201_1084	SA1420	lys	fractionated	NA	marine
