sample	culture	quantity	Kingdom	groundwater	fraction	age	medium
P21015_1042	a1u	19270.75532	Bacteria	KR0015	unfiltered	1	ace
P21015_1042	a1u	21687.50761	Bacteria	KR0015	unfiltered	1	ace
P21015_1043	a1f	2029.141256	Bacteria	KR0015	filtered	1	ace
P21015_1043	a1f	1788.758197	Bacteria	KR0015	filtered	1	ace
P21015_1046	a2u	298608.1146	Bacteria	KR0015	unfiltered	2	ace
P21015_1046	a2u	288848.2161	Bacteria	KR0015	unfiltered	2	ace
P21015_1046	a2u	334315.7386	Bacteria	KR0015	unfiltered	2	ace
P21015_1047	a2f	3738.830156	Bacteria	KR0015	filtered	2	ace
P21015_1047	a2f	3517.860303	Bacteria	KR0015	filtered	2	ace
P21015_1047	a2f	3366.178088	Bacteria	KR0015	filtered	2	ace
P21015_1050	a3u	680607.679	Bacteria	KR0015	unfiltered	3	ace
P21015_1050	a3u	667189.6439	Bacteria	KR0015	unfiltered	3	ace
P21015_1050	a3u	645410.064	Bacteria	KR0015	unfiltered	3	ace
P21015_1051	a3f	8463.05838	Bacteria	KR0015	filtered	3	ace
P21015_1051	a3f	8020.604879	Bacteria	KR0015	filtered	3	ace
P21015_1051	a3f	8294.386253	Bacteria	KR0015	filtered	3	ace
P21015_1054	a4u	2023042.873	Bacteria	KR0015	unfiltered	4	ace
P21015_1054	a4u	1957766.019	Bacteria	KR0015	unfiltered	4	ace
P21015_1054	a4u	2063248.924	Bacteria	KR0015	unfiltered	4	ace
P21015_1055	a4f	82618.43297	Bacteria	KR0015	filtered	4	ace
P21015_1055	a4f	81001.8495	Bacteria	KR0015	filtered	4	ace
P21015_1058	a5u	1173645.067	Bacteria	KR0015	unfiltered	5	ace
P21015_1058	a5u	1113635.061	Bacteria	KR0015	unfiltered	5	ace
P21015_1058	a5u	1128343.681	Bacteria	KR0015	unfiltered	5	ace
P21015_1059	a5f	20873.99093	Bacteria	KR0015	filtered	5	ace
P21015_1059	a5f	19675.23605	Bacteria	KR0015	filtered	5	ace
P21015_1059	a5f	21289.56	Bacteria	KR0015	filtered	5	ace
P21015_1062	a6u	1125762.623	Bacteria	KR0015	unfiltered	6	ace
P21015_1062	a6u	1083115.822	Bacteria	KR0015	unfiltered	6	ace
P21015_1062	a6u	1062401.605	Bacteria	KR0015	unfiltered	6	ace
P21015_1063	a6f	35360.45324	Bacteria	KR0015	filtered	6	ace
P21015_1063	a6f	29371.35338	Bacteria	KR0015	filtered	6	ace
P21015_1063	a6f	29176.76284	Bacteria	KR0015	filtered	6	ace
P21015_1066	a7u	881483.3265	Bacteria	KR0015	unfiltered	7	ace
P21015_1066	a7u	859073.1339	Bacteria	KR0015	unfiltered	7	ace
P21015_1066	a7u	842639.7608	Bacteria	KR0015	unfiltered	7	ace
P21015_1067	a7f	23566.86025	Bacteria	KR0015	filtered	7	ace
P21015_1067	a7f	38024.61363	Bacteria	KR0015	filtered	7	ace
P21015_1067	a7f	24206.61231	Bacteria	KR0015	filtered	7	ace
P21015_1070	a8u	1607352.39	Bacteria	KR0015	unfiltered	8	ace
P21015_1070	a8u	1628931.979	Bacteria	KR0015	unfiltered	8	ace
P21015_1070	a8u	1483746.078	Bacteria	KR0015	unfiltered	8	ace
P21015_1071	a8f	34384.10548	Bacteria	KR0015	filtered	8	ace
P21015_1071	a8f	31283.84974	Bacteria	KR0015	filtered	8	ace
P21015_1074	a9u	1143961.819	Bacteria	KR0015	unfiltered	9	ace
P21015_1074	a9u	994464.2171	Bacteria	KR0015	unfiltered	9	ace
P21015_1074	a9u	1063047.329	Bacteria	KR0015	unfiltered	9	ace
P21015_1075	a9f	33243.51339	Bacteria	KR0015	filtered	9	ace
P21015_1075	a9f	24356.19023	Bacteria	KR0015	filtered	9	ace
P21015_1075	a9f	24191.64831	Bacteria	KR0015	filtered	9	ace
P21015_1078	a10u	512890.1342	Bacteria	KR0015	unfiltered	10	ace
P21015_1078	a10u	461791.9607	Bacteria	KR0015	unfiltered	10	ace
P21015_1079	a10f	12184.1305	Bacteria	KR0015	filtered	10	ace
P21015_1079	a10f	10297.27611	Bacteria	KR0015	filtered	10	ace
P21015_1079	a10f	11781.62805	Bacteria	KR0015	filtered	10	ace
P21015_1044	l1u	21925.83616	Bacteria	KR0015	unfiltered	1	lys
P21015_1044	l1u	23744.59073	Bacteria	KR0015	unfiltered	1	lys
P21015_1044	l1u	19067.76354	Bacteria	KR0015	unfiltered	1	lys
P21015_1045	l1f	7906.900117	Bacteria	KR0015	filtered	1	lys
P21015_1045	l1f	7041.559463	Bacteria	KR0015	filtered	1	lys
P21015_1048	l2u	13136357.83	Bacteria	KR0015	unfiltered	2	lys
P21015_1048	l2u	12294829.86	Bacteria	KR0015	unfiltered	2	lys
P21015_1048	l2u	13668675.36	Bacteria	KR0015	unfiltered	2	lys
P21015_1049	l2f	8445.526264	Bacteria	KR0015	filtered	2	lys
P21015_1049	l2f	8573.29946	Bacteria	KR0015	filtered	2	lys
P21015_1049	l2f	8072.202591	Bacteria	KR0015	filtered	2	lys
P21015_1052	l3u	73948626.46	Bacteria	KR0015	unfiltered	3	lys
P21015_1052	l3u	61435968.55	Bacteria	KR0015	unfiltered	3	lys
P21015_1052	l3u	58653754.55	Bacteria	KR0015	unfiltered	3	lys
P21015_1053	l3f	4284.065638	Bacteria	KR0015	filtered	3	lys
P21015_1053	l3f	3836.711652	Bacteria	KR0015	filtered	3	lys
P21015_1053	l3f	3487.120856	Bacteria	KR0015	filtered	3	lys
P21015_1056	l4u	49936107.39	Bacteria	KR0015	unfiltered	4	lys
P21015_1056	l4u	50264697.02	Bacteria	KR0015	unfiltered	4	lys
P21015_1056	l4u	49936107.39	Bacteria	KR0015	unfiltered	4	lys
P21015_1057	l4f	76843.28224	Bacteria	KR0015	filtered	4	lys
P21015_1057	l4f	71470.10171	Bacteria	KR0015	filtered	4	lys
P21015_1057	l4f	72418.43301	Bacteria	KR0015	filtered	4	lys
P21015_1060	l5u	74414498.68	Bacteria	KR0015	unfiltered	5	lys
P21015_1060	l5u	69690520.62	Bacteria	KR0015	unfiltered	5	lys
P21015_1060	l5u	67001324.48	Bacteria	KR0015	unfiltered	5	lys
P21015_1061	l5f	124502.8992	Bacteria	KR0015	filtered	5	lys
P21015_1061	l5f	117364.5067	Bacteria	KR0015	filtered	5	lys
P21015_1061	l5f	120485.1665	Bacteria	KR0015	filtered	5	lys
P21015_1064	l6u	29741435.99	Bacteria	KR0015	unfiltered	6	lys
P21015_1064	l6u	31513612.83	Bacteria	KR0015	unfiltered	6	lys
P21015_1064	l6u	26490445.57	Bacteria	KR0015	unfiltered	6	lys
P21015_1065	l6f	7614.342518	Bacteria	KR0015	filtered	6	lys
P21015_1065	l6f	7322.413567	Bacteria	KR0015	filtered	6	lys
P21015_1065	l6f	7227.580312	Bacteria	KR0015	filtered	6	lys
P21015_1068	l7u	12482749.48	Bacteria	KR0015	unfiltered	7	lys
P21015_1068	l7u	10628783.82	Bacteria	KR0015	unfiltered	7	lys
P21015_1068	l7u	11334813.07	Bacteria	KR0015	unfiltered	7	lys
P21015_1069	l7f	7418.474391	Bacteria	KR0015	filtered	7	lys
P21015_1069	l7f	6596.82671	Bacteria	KR0015	filtered	7	lys
P21015_1069	l7f	6139.572281	Bacteria	KR0015	filtered	7	lys
P21015_1072	l8u	26905588.19	Bacteria	KR0015	unfiltered	8	lys
P21015_1072	l8u	25850605.6	Bacteria	KR0015	unfiltered	8	lys
P21015_1072	l8u	25850605.6	Bacteria	KR0015	unfiltered	8	lys
P21015_1073	l8f	73985.50876	Bacteria	KR0015	filtered	8	lys
P21015_1073	l8f	69187.78993	Bacteria	KR0015	filtered	8	lys
P21015_1073	l8f	68725.37525	Bacteria	KR0015	filtered	8	lys
P21015_1076	l9u	379120.4257	Bacteria	KR0015	unfiltered	9	lys
P21015_1076	l9u	421897.3063	Bacteria	KR0015	unfiltered	9	lys
P21015_1077	l9f	16985.07501	Bacteria	KR0015	filtered	9	lys
P21015_1077	l9f	15647.8517	Bacteria	KR0015	filtered	9	lys
P21015_1077	l9f	14813.98542	Bacteria	KR0015	filtered	9	lys
P21015_1080	l10u	5753842.805	Bacteria	KR0015	unfiltered	10	lys
P21015_1080	l10u	6184074.212	Bacteria	KR0015	unfiltered	10	lys
P21015_1080	l10u	5604927.989	Bacteria	KR0015	unfiltered	10	lys
P21015_1081	l10f	418639.2766	Bacteria	KR0015	filtered	10	lys
P21015_1081	l10f	381906.4409	Bacteria	KR0015	filtered	10	lys
P21015_1081	l10f	374464.1649	Bacteria	KR0015	filtered	10	lys
P21015_1042	a1u	5429.786808	Archaea	KR0015	unfiltered	1	ace
P21015_1042	a1u	6345.482828	Archaea	KR0015	unfiltered	1	ace
P21015_1043	a1f	756.2905245	Archaea	KR0015	filtered	1	ace
P21015_1043	a1f	587.0912121	Archaea	KR0015	filtered	1	ace
P21015_1046	a2u	2408.854634	Archaea	KR0015	unfiltered	2	ace
P21015_1046	a2u	2331.730291	Archaea	KR0015	unfiltered	2	ace
P21015_1047	a2f	717.0089147	Archaea	KR0015	filtered	2	ace
P21015_1047	a2f	646.1022678	Archaea	KR0015	filtered	2	ace
P21015_1050	a3u	2008.887213	Archaea	KR0015	unfiltered	3	ace
P21015_1050	a3u	2318.128883	Archaea	KR0015	unfiltered	3	ace
P21015_1050	a3u	2157.975781	Archaea	KR0015	unfiltered	3	ace
P21015_1051	a3f	1216.277722	Archaea	KR0015	filtered	3	ace
P21015_1051	a3f	1047.187074	Archaea	KR0015	filtered	3	ace
P21015_1051	a3f	1154.572229	Archaea	KR0015	filtered	3	ace
P21015_1054	a4u	4275.010658	Archaea	KR0015	unfiltered	4	ace
P21015_1054	a4u	4560.794555	Archaea	KR0015	unfiltered	4	ace
P21015_1055	a4f	1694.571511	Archaea	KR0015	filtered	4	ace
P21015_1055	a4f	1651.271851	Archaea	KR0015	filtered	4	ace
P21015_1055	a4f	1640.620927	Archaea	KR0015	filtered	4	ace
P21015_1058	a5u	3981.28771	Archaea	KR0015	unfiltered	5	ace
P21015_1058	a5u	4330.69764	Archaea	KR0015	unfiltered	5	ace
P21015_1058	a5u	3804.970095	Archaea	KR0015	unfiltered	5	ace
P21015_1059	a5f	712.922211	Archaea	KR0015	filtered	5	ace
P21015_1059	a5f	663.9394996	Archaea	KR0015	filtered	5	ace
P21015_1059	a5f	811.4257037	Archaea	KR0015	filtered	5	ace
P21015_1062	a6u	3735.113263	Archaea	KR0015	unfiltered	6	ace
P21015_1062	a6u	3735.113263	Archaea	KR0015	unfiltered	6	ace
P21015_1063	a6f	586.1969535	Archaea	KR0015	filtered	6	ace
P21015_1063	a6f	486.9056607	Archaea	KR0015	filtered	6	ace
P21015_1063	a6f	440.8257253	Archaea	KR0015	filtered	6	ace
P21015_1066	a7u	1482.64516	Archaea	KR0015	unfiltered	7	ace
P21015_1066	a7u	1594.780851	Archaea	KR0015	unfiltered	7	ace
P21015_1066	a7u	1342.330108	Archaea	KR0015	unfiltered	7	ace
P21015_1067	a7f	375.9952011	Archaea	KR0015	filtered	7	ace
P21015_1067	a7f	288.4305474	Archaea	KR0015	filtered	7	ace
P21015_1067	a7f	271.728079	Archaea	KR0015	filtered	7	ace
P21015_1070	a8u	5257.933363	Archaea	KR0015	unfiltered	8	ace
P21015_1070	a8u	4823.495683	Archaea	KR0015	unfiltered	8	ace
P21015_1070	a8u	6247.718374	Archaea	KR0015	unfiltered	8	ace
P21015_1071	a8f	962.2224021	Archaea	KR0015	filtered	8	ace
P21015_1071	a8f	728.2372184	Archaea	KR0015	filtered	8	ace
P21015_1071	a8f	1007.958294	Archaea	KR0015	filtered	8	ace
P21015_1074	a9u	2744.578736	Archaea	KR0015	unfiltered	9	ace
P21015_1074	a9u	3239.672036	Archaea	KR0015	unfiltered	9	ace
P21015_1074	a9u	2602.720791	Archaea	KR0015	unfiltered	9	ace
P21015_1075	a9f	463.8354213	Archaea	KR0015	filtered	9	ace
P21015_1075	a9f	372.6408356	Archaea	KR0015	filtered	9	ace
P21015_1075	a9f	358.1000324	Archaea	KR0015	filtered	9	ace
P21015_1078	a10u	3443.473686	Archaea	KR0015	unfiltered	10	ace
P21015_1078	a10u	2985.073517	Archaea	KR0015	unfiltered	10	ace
P21015_1078	a10u	3185.340189	Archaea	KR0015	unfiltered	10	ace
P21015_1079	a10f	266.3756708	Archaea	KR0015	filtered	10	ace
P21015_1079	a10f	246.407322	Archaea	KR0015	filtered	10	ace
P21015_1044	l1u	4596.012373	Archaea	KR0015	unfiltered	1	lys
P21015_1044	l1u	4596.012373	Archaea	KR0015	unfiltered	1	lys
P21015_1044	l1u	3782.498987	Archaea	KR0015	unfiltered	1	lys
P21015_1045	l1f	2688.082954	Archaea	KR0015	filtered	1	lys
P21015_1045	l1f	2113.974505	Archaea	KR0015	filtered	1	lys
P21015_1048	l2u	1479.458346	Archaea	KR0015	unfiltered	2	lys
P21015_1048	l2u	1568.703417	Archaea	KR0015	unfiltered	2	lys
P21015_1048	l2u	1450.852877	Archaea	KR0015	unfiltered	2	lys
P21015_1049	l2f	1216.277722	Archaea	KR0015	filtered	2	lys
P21015_1049	l2f	1162.110868	Archaea	KR0015	filtered	2	lys
P21015_1049	l2f	1264.711553	Archaea	KR0015	filtered	2	lys
P21015_1052	l3u	6770.98335	Archaea	KR0015	unfiltered	3	lys
P21015_1052	l3u	5426.905443	Archaea	KR0015	unfiltered	3	lys
P21015_1053	l3f	1429.317962	Archaea	KR0015	filtered	3	lys
P21015_1053	l3f	1066.44472	Archaea	KR0015	filtered	3	lys
P21015_1056	l4u	5525.745173	Archaea	KR0015	unfiltered	4	lys
P21015_1056	l4u	5525.745173	Archaea	KR0015	unfiltered	4	lys
P21015_1056	l4u	5112.895114	Archaea	KR0015	unfiltered	4	lys
P21015_1057	l4f	2166.967862	Archaea	KR0015	filtered	4	lys
P21015_1057	l4f	1941.229342	Archaea	KR0015	filtered	4	lys
P21015_1060	l5u	3017.121188	Archaea	KR0015	unfiltered	5	lys
P21015_1060	l5u	3281.912929	Archaea	KR0015	unfiltered	5	lys
P21015_1061	l5f	2498.502264	Archaea	KR0015	filtered	5	lys
P21015_1061	l5f	2597.417319	Archaea	KR0015	filtered	5	lys
P21015_1061	l5f	2631.251699	Archaea	KR0015	filtered	5	lys
P21015_1064	l6u	190225.9708	Archaea	KR0015	unfiltered	6	lys
P21015_1064	l6u	194046.3097	Archaea	KR0015	unfiltered	6	lys
P21015_1064	l6u	165508.674	Archaea	KR0015	unfiltered	6	lys
P21015_1065	l6f	520.271559	Archaea	KR0015	filtered	6	lys
P21015_1065	l6f	474.1663375	Archaea	KR0015	filtered	6	lys
P21015_1065	l6f	486.9056607	Archaea	KR0015	filtered	6	lys
P21015_1068	l7u	28766.68672	Archaea	KR0015	unfiltered	7	lys
P21015_1068	l7u	25362.8379	Archaea	KR0015	unfiltered	7	lys
P21015_1068	l7u	28200.33485	Archaea	KR0015	unfiltered	7	lys
P21015_1069	l7f	563.3423484	Archaea	KR0015	filtered	7	lys
P21015_1069	l7f	483.6890965	Archaea	KR0015	filtered	7	lys
P21015_1069	l7f	530.7202566	Archaea	KR0015	filtered	7	lys
P21015_1072	l8u	48879.18123	Archaea	KR0015	unfiltered	8	lys
P21015_1072	l8u	48556.00062	Archaea	KR0015	unfiltered	8	lys
P21015_1072	l8u	53281.58137	Archaea	KR0015	unfiltered	8	lys
P21015_1073	l8f	1358.589325	Archaea	KR0015	filtered	8	lys
P21015_1073	l8f	1668.782111	Archaea	KR0015	filtered	8	lys
P21015_1073	l8f	1197.702427	Archaea	KR0015	filtered	8	lys
P21015_1076	l9u	11425.9871	Archaea	KR0015	unfiltered	9	lys
P21015_1076	l9u	9940.138439	Archaea	KR0015	unfiltered	9	lys
P21015_1076	l9u	10481.91288	Archaea	KR0015	unfiltered	9	lys
P21015_1077	l9f	1296.943626	Archaea	KR0015	filtered	9	lys
P21015_1077	l9f	1296.943626	Archaea	KR0015	filtered	9	lys
P21015_1077	l9f	1358.589325	Archaea	KR0015	filtered	9	lys
P21015_1080	l10u	806931.5403	Archaea	KR0015	unfiltered	10	lys
P21015_1080	l10u	872323.6329	Archaea	KR0015	unfiltered	10	lys
P21015_1080	l10u	791364.2992	Archaea	KR0015	unfiltered	10	lys
P21015_1081	l10f	969.8180657	Archaea	KR0015	filtered	10	lys
P21015_1081	l10f	1069.033843	Archaea	KR0015	filtered	10	lys
P21015_1081	l10f	1041.624385	Archaea	KR0015	filtered	10	lys
