sample	cutadapt_total_processed	cutadapt_passing_filters	cutadapt_passing_filters_percent	cutadapt_doubleprimer_passing_filters	cutadapt_doubleprimer_passing_filters_percent	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim
P15009_1057	225203	221486	98.3%	219976	99.3%	219976	113707	95404	105322	72229	65499
P15009_1059	73986	72843	98.5%	72390	99.4%	72390	39629	27364	33213	15003	11510
P15009_1060	111786	110759	99.1%	110062	99.4%	110062	55519	52665	52794	46704	46472
P15009_1061	194945	193055	99.0%	191255	99.1%	191255	104021	97240	100658	76167	72435
P15009_1062	139104	137458	98.8%	137368	99.9%	137368	71590	70762	70979	61359	58853
P15009_1063	133798	131973	98.6%	131774	99.8%	131774	68376	65654	66786	55565	44399
P15009_1065	71563	71143	99.4%	70741	99.4%	70741	37385	32956	34940	24688	22640
P15009_1066	34327	34098	99.3%	33840	99.2%	33840	17224	13331	14988	9852	9276
P15009_1069	3916	3874	98.9%	3863	99.7%	3863	1959	1478	1610	1271	1207
P26201_1007	182823	180777	98.9%	180699	100.0%	180699	161706	159922	160698	158703	146716
P26201_1008	103409	102149	98.8%	102103	100.0%	102103	92795	91783	92228	90882	84038
P26201_1009	150787	149566	99.2%	149504	100.0%	149504	135814	134788	135253	134350	131344
P26201_1010	215452	213793	99.2%	213580	99.9%	213580	188902	187420	188158	186489	171088
P26201_1011	67414	64412	95.5%	63475	98.5%	63475	52531	49106	49738	44783	44234
P26201_1012	122862	120829	98.3%	120183	99.5%	120183	106874	105754	105992	103764	103513
P26201_1017	3645	3516	96.5%	3500	99.5%	3500	2315	1759	1917	1584	1555
P26201_1019	2431	2380	97.9%	2375	99.8%	2375	1718	1208	1434	1005	971
P26201_1021	92019	90597	98.5%	90540	99.9%	90540	80336	79582	80008	79333	79256
P26201_1022	176488	174265	98.7%	174197	100.0%	174197	158255	157430	157861	157024	156469
P26201_1024	120671	117663	97.5%	117494	99.9%	117494	105833	103089	104043	100599	78180
P26201_1025	75901	75170	99.0%	74797	99.5%	74797	66010	65156	65516	64455	64160
P26201_1026	111065	109850	98.9%	109796	100.0%	109796	98423	97035	97710	96049	88681
P26201_1027	135875	134779	99.2%	134615	99.9%	134615	116359	115199	115685	114588	114206
P26201_1028	169744	168461	99.2%	168378	100.0%	168378	154707	153432	153578	151947	140335
P26201_1029	88994	87792	98.6%	87561	99.7%	87561	76939	75768	76424	74748	74387
P26201_1030	57515	56313	97.9%	56247	99.9%	56247	49436	48460	48901	48116	47999
P26201_1031	64397	63510	98.6%	63451	99.9%	63451	55802	54934	55303	54669	54599
P26201_1032	158789	157155	99.0%	156837	99.8%	156837	142187	140111	141145	137942	136682
P26201_1033	267814	265798	99.2%	265715	100.0%	265715	243359	241997	242676	240979	233279
P26201_1034	196532	194133	98.8%	193847	99.9%	193847	168929	167714	168315	166876	162834
P26201_1035	442909	438969	99.1%	438889	100.0%	438889	404931	403451	404295	401917	373704
P26201_1036	166019	164264	98.9%	163607	99.6%	163607	146044	144621	145469	143529	142671
P26201_1037	147996	146499	99.0%	146459	100.0%	146459	131769	130012	131083	127957	108628
P26201_1038	124556	123550	99.2%	123521	100.0%	123521	111717	110271	110876	106814	78525
P26201_1042	8575	8451	98.6%	8444	99.9%	8444	6493	5259	5990	4588	3742
P26201_1043	571520	567000	99.2%	566692	99.9%	566692	514888	506213	510551	484984	316883
P26201_1044	107449	106451	99.1%	106386	99.9%	106386	95644	94343	95060	92533	66482
P26201_1045	227279	224714	98.9%	224643	100.0%	224643	201299	199348	200775	198376	183067
P26201_1054	160620	159427	99.3%	159388	100.0%	159388	143549	142694	142805	141120	131661
P26201_1055	151030	150005	99.3%	149977	100.0%	149977	136018	135392	135665	134836	132954
P26201_1056	29467	29277	99.4%	29252	99.9%	29252	25363	24714	25033	24203	23796
P26201_1057	214482	212666	99.2%	212611	100.0%	212611	189447	188482	189095	187697	187067
P26201_1058	125381	124465	99.3%	124441	100.0%	124441	112558	111722	112079	110048	96297
P26201_1059	51574	51259	99.4%	51246	100.0%	51246	46267	45632	45934	44813	35743
P26201_1060	179614	178402	99.3%	178345	100.0%	178345	160562	158680	159600	156238	116412
P26201_1061	82769	82314	99.5%	82261	99.9%	82261	73209	72171	72687	71217	64516
P26201_1062	507474	504454	99.4%	504183	99.9%	504183	450070	447724	448906	444343	409258
P26201_1063	131071	130101	99.3%	130055	100.0%	130055	115786	114396	115007	112979	104957
P26201_1064	85317	84707	99.3%	84688	100.0%	84688	75282	73811	74470	71732	57667
P26201_1065	405174	402948	99.5%	402883	100.0%	402883	364865	362670	363776	358616	306875
P26201_1066	119149	118320	99.3%	118276	100.0%	118276	105824	103972	104917	101462	83620
P26201_1067	131445	130592	99.4%	130334	99.8%	130334	114998	113886	114478	112282	111386
P26201_1068	329725	327463	99.3%	327079	99.9%	327079	295353	293532	294473	291375	288018
P26201_1069	714490	710389	99.4%	710180	100.0%	710180	657129	655800	656411	654446	652473
P26201_1076	94053	93348	99.3%	92868	99.5%	92868	83550	82518	82968	81484	81222
P26201_1078	81610	80998	99.3%	80898	99.9%	80898	71384	70388	70826	69594	69086
P26201_1082	182820	180992	99.0%	180820	99.9%	180820	163556	161128	162590	159043	158337
P26201_1083	7330	7262	99.1%	7256	99.9%	7256	5948	5176	5426	4821	4759
P26201_1084	359945	357413	99.3%	357111	99.9%	357111	316813	315497	316261	315004	276563
P21015_1020	133332	130156	97.6%	129473	99.5%	129473	119500	95375	110460	72460	62700
P21015_1021	193060	188643	97.7%	187202	99.2%	187202	173643	150513	164901	125210	114725
P21015_1022	65776	64386	97.9%	64067	99.5%	64067	58570	42547	51745	30595	25737
P21015_1023	187118	183304	98.0%	182056	99.3%	182056	169761	160112	165127	148020	134160
P21015_1024	78677	76889	97.7%	76252	99.2%	76252	70161	56895	64709	44520	36582
P21015_1025	176942	161278	91.1%	159966	99.2%	159966	145351	125237	138136	104578	93860
P21015_1029	275830	261771	94.9%	261401	99.9%	261401	241258	236621	239343	231351	219562
P21015_1030	136025	126768	93.2%	126552	99.8%	126552	114653	106171	111204	98014	69170
P21015_1031	1067002	1010153	94.7%	1008614	99.8%	1008614	934103	926191	931082	906880	856391
P21015_1042	127316	123698	97.2%	122432	99.0%	122432	113946	97260	106825	77322	70283
P21015_1043	141241	138765	98.2%	138366	99.7%	138366	128915	116254	124425	103399	99127
P21015_1044	87679	85067	97.0%	84697	99.6%	84697	78210	64318	71907	51335	47602
P21015_1045	107314	105054	97.9%	104932	99.9%	104932	97463	87822	93463	78618	74065
P21015_1046	124201	121460	97.8%	121376	99.9%	121376	114444	109796	112288	102897	101889
P21015_1047	118584	116239	98.0%	115884	99.7%	115884	106715	95710	102637	85492	83513
P21015_1048	113349	110906	97.8%	110875	100.0%	110875	104012	101991	102830	100064	87166
P21015_1049	111086	108701	97.9%	108524	99.8%	108524	99387	86857	94365	75038	71088
P21015_1050	147887	144738	97.9%	144672	100.0%	144672	136367	132156	134233	124943	113239
P21015_1051	121025	117664	97.2%	117424	99.8%	117424	108650	95793	103568	85337	81118
P21015_1052	278003	274215	98.6%	274185	100.0%	274185	258715	256007	257529	253461	221701
P21015_1053	86855	85722	98.7%	85593	99.8%	85593	79125	68766	74490	59411	56816
P21015_1054	109638	108621	99.1%	108585	100.0%	108585	102057	98238	100393	93397	77282
P21015_1055	124368	122902	98.8%	122861	100.0%	122861	115034	110431	112886	107075	92498
P21015_1056	126017	125165	99.3%	125151	100.0%	125151	118104	116505	117304	115199	106805
P21015_1057	104580	103261	98.7%	103210	100.0%	103210	96408	91367	94073	88158	85542
P21015_1058	124971	122629	98.1%	122553	99.9%	122553	115626	111779	113752	106001	96894
P21015_1059	137053	134170	97.9%	134072	99.9%	134072	126245	122249	124018	119119	116314
P21015_1060	107291	105597	98.4%	105561	100.0%	105561	96448	94023	95257	91112	64746
P21015_1061	175530	172338	98.2%	172279	100.0%	172279	161616	155838	158290	151005	144764
P21015_1062	124938	122701	98.2%	122633	99.9%	122633	115471	110971	113368	104390	91941
P21015_1063	145651	143111	98.3%	143027	99.9%	143027	134456	129805	131906	126092	117170
P21015_1064	370487	365762	98.7%	365732	100.0%	365732	347188	345742	346406	342185	298026
P21015_1065	133976	132851	99.2%	132606	99.8%	132606	122354	114243	117076	104034	101794
P21015_1066	242865	242042	99.7%	241998	100.0%	241998	229631	225291	227651	214749	189397
P21015_1067	147947	146931	99.3%	146899	100.0%	146899	138769	135858	137062	133819	132176
P21015_1068	40438	40262	99.6%	40238	99.9%	40238	36480	34533	35641	33678	27535
P21015_1069	96999	96518	99.5%	96379	99.9%	96379	88702	80369	84945	71144	67119
P21015_1070	80593	80267	99.6%	80247	100.0%	80247	75398	72881	74346	69112	61642
P21015_1071	129175	128238	99.3%	128175	100.0%	128175	121027	117094	119121	114340	105575
P21015_1072	10324	10255	99.3%	10242	99.9%	10242	8759	7566	8179	7165	6052
P21015_1073	208447	207539	99.6%	207485	100.0%	207485	194633	190195	193085	188401	186552
P21015_1074	96240	95727	99.5%	95689	100.0%	95689	90368	87415	88965	82379	70432
P21015_1075	124588	123566	99.2%	123536	100.0%	123536	116754	113826	115243	112047	102141
P21015_1076	185379	184517	99.5%	184486	100.0%	184486	173620	171435	172808	164755	132309
P21015_1077	79627	78941	99.1%	78746	99.8%	78746	71664	64585	67052	55908	53007
P21015_1078	114005	113532	99.6%	113504	100.0%	113504	107207	103980	105673	98653	87085
P21015_1079	169112	166628	98.5%	166586	100.0%	166586	156953	153571	155409	151575	141170
P21015_1080	50784	50559	99.6%	50552	100.0%	50552	46863	45583	46278	44908	41621
P21015_1081	46389	46111	99.4%	46079	99.9%	46079	42858	41243	42099	39061	35656
